ProjectName,Type,Company,Position,Description,TechSkills,SoftSkills,Software,DateFrom,DateTo
Sistema Centralizado de Autenticación,Service,CGAE,Project Manager,,Java;PHP,,Apereo CAS,,16 May 2015,16 May 2022
Biblioteca Abogacía,Web;Mobile,,Collaborator,,,,Xercode,16 May 2014,16 May 2022
Revista Abogacía,Web,CGAE,Collaborator,,,,,16 May 2015,16 May 2022
Sistema Automatizado de Confirmación Eventos,Internal,CGAE,Project Manager;Software Engineer,,Google App Script,,Mailjet API,16 May 2017,16 May 2022
Portal de Compras de Abogacía,Web,CGAE,Collaborator,,,,Wordpress;WooCommerce;Mailjet API,16 May 2022,16 May 2022
Centro de Recursos Digitales de la Abogacía,Internal,CGAE,Project Manager;Software Engineer,,,,WordPress,16 May 2020,16 May 2022
